scope,method,epsilon,formal_seed,data_B_total,hit,first_hit_depth,first_hit_total_work,censoring_depth,censoring_total_work,final_stat_proxy
primary,ME-DOL-FO,0.0095,33,32,True,312,9984,15360,491520,0.00745540764182806
primary,ME-DOL-FO,0.0095,34,32,True,312,9984,15360,491520,0.008109373971819878
primary,ME-DOL-FO,0.0095,35,32,True,408,13056,15360,491520,0.008279915899038315
primary,ME-DOL-FO,0.0095,36,32,True,264,8448,15360,491520,0.007424409035593271
primary,ME-DOL-FO,0.0095,37,32,True,288,9216,15360,491520,0.00696494011208415
primary,ME-DOL-FO,0.0095,38,32,True,336,10752,15360,491520,0.008183176629245281
primary,ME-DOL-FO,0.0095,39,32,True,288,9216,15360,491520,0.007814537733793259
primary,ME-DOL-FO,0.0095,40,32,True,264,8448,15360,491520,0.006567697506397963
primary,ME-DOL-FO,0.0095,41,32,True,312,9984,15360,491520,0.007621251046657562
primary,ME-DOL-FO,0.0095,42,32,True,336,10752,15360,491520,0.007578411139547825
primary,ME-DOL-FO,0.0095,43,32,True,264,8448,15360,491520,0.007110272534191608
primary,ME-DOL-FO,0.0095,44,32,True,336,10752,15360,491520,0.007802268024533987
primary,ME-DOL-FO,0.0095,45,32,True,312,9984,15360,491520,0.007773191202431917
primary,ME-DOL-FO,0.0095,46,32,True,264,8448,15360,491520,0.008108350448310375
primary,ME-DOL-FO,0.0095,47,32,True,288,9216,15360,491520,0.007363087963312864
primary,ME-DOL-FO,0.0095,48,32,True,288,9216,15360,491520,0.007276996038854122
primary,ME-DOL-FO,0.0095,49,32,True,312,9984,15360,491520,0.008645471185445786
primary,NOG-FO,0.00925,20,32,True,650,20800,15362,491584,0.005998559296131134
primary,NOG-FO,0.00925,21,32,True,650,20800,15362,491584,0.0046880291774868965
primary,NOG-FO,0.00925,22,32,True,602,19264,15362,491584,0.0057872869074344635
primary,NOG-FO,0.00925,23,32,True,674,21568,15362,491584,0.005244918167591095
primary,NOG-FO,0.00925,24,32,True,626,20032,15362,491584,0.006087501998990774
primary,NOG-FO,0.00925,25,32,True,602,19264,15362,491584,0.00489584356546402
primary,NOG-FO,0.00925,26,32,True,674,21568,15362,491584,0.0059431674890220165
primary,NOG-FO,0.00925,27,32,True,626,20032,15362,491584,0.00491165928542614
primary,NOG-FO,0.00925,28,32,True,626,20032,15362,491584,0.005798894912004471
primary,NOG-FO,0.00925,29,32,True,674,21568,15362,491584,0.005476533900946379
primary,NOG-FO,0.00925,30,32,True,626,20032,15362,491584,0.005004546605050564
primary,NOG-FO,0.00925,31,32,True,674,21568,15362,491584,0.005383715964853764
primary,NOG-FO,0.00925,32,32,True,674,21568,15362,491584,0.005433218088001013
primary,NOG-FO,0.00925,33,32,True,674,21568,15362,491584,0.005673905834555626
primary,NOG-FO,0.00925,34,32,True,650,20800,15362,491584,0.005512638948857784
primary,NOG-FO,0.00925,35,32,True,698,22336,15362,491584,0.005661352537572384
primary,NOG-FO,0.00925,36,32,True,674,21568,15362,491584,0.0055730026215314865
primary,NOG-FO,0.00925,37,32,True,650,20800,15362,491584,0.005038395989686251
primary,NOG-FO,0.00925,38,32,True,698,22336,15362,491584,0.0054754395969212055
primary,NOG-FO,0.00925,39,32,True,650,20800,15362,491584,0.005151279270648956
primary,NOG-FO,0.00925,40,32,True,650,20800,15362,491584,0.0050801727920770645
primary,NOG-FO,0.00925,41,32,True,626,20032,15362,491584,0.005363438744097948
primary,NOG-FO,0.00925,42,32,True,650,20800,15362,491584,0.005425501614809036
primary,NOG-FO,0.00925,43,32,True,626,20032,15362,491584,0.0063233752734959126
primary,NOG-FO,0.00925,44,32,True,650,20800,15362,491584,0.005614523775875568
primary,NOG-FO,0.00925,45,32,True,626,20032,15362,491584,0.0049708206206560135
primary,NOG-FO,0.00925,46,32,True,626,20032,15362,491584,0.005540818907320499
primary,NOG-FO,0.00925,47,32,True,602,19264,15362,491584,0.004926380235701799
primary,NOG-FO,0.00925,48,32,True,626,20032,15362,491584,0.005595148541033268
primary,NOG-FO,0.00925,49,32,True,674,21568,15362,491584,0.006439909338951111
primary,ME-DOL-FO,0.00925,20,32,True,312,9984,15360,491520,0.007408784702420235
